participant_id	spmcomcor.exclude	spmgsr.exclude	rabies.exclude	di1.exclude	di2.exclude	easymribrain.exclude	aidamri.exclude	liming.exclude	global.exclude
sub-300100	1	1	1	1	1	1	1	1	1
sub-300101	1	1	1	1	1	1	1	1	1
sub-300102	1	1	1	1	1	1	1	1	1
sub-300103	1	1	1	1	1	1	1	1	1
sub-300104	1	1	1	1	1	1	1	1	1
sub-300105	1	1	1	1	1	1	1	1	1
sub-300106	1	1	1	1	1	1	1	1	1
sub-300107	1	1	1	1	1	1	1	1	1
sub-300108	1	1	1	1	1	1	1	1	1
sub-300109	1	1	1	1	1	1	1	1	1
sub-300200	1	1	1	1	1	1	1	1	1
sub-300201	1	1	1	1	1	1	1	1	1
sub-300202	1	1	1	1	1	1	1	1	1
sub-300203	1	1	1	1	1	1	1	1	1
sub-300204	1	1	1	1	1	1	1	1	1
sub-300205	1	1	1	1	1	1	1	1	1
sub-300206	1	1	1	1	1	1	1	1	1
sub-300207	1	1	1	1	1	1	1	1	1
sub-300208	1	1	1	1	1	1	1	1	1
sub-300209	1	1	1	1	1	1	1	1	1
sub-300301	1	1	0	1	1	1	0	1	0
sub-300302	1	1	1	0	1	1	0	1	0
sub-300303	1	1	1	1	1	1	0	1	0
sub-300304	1	1	1	1	1	1	0	1	0
sub-300305	1	1	0	1	1	1	0	1	0
sub-300306	1	1	1	1	1	0	0	1	0
sub-300307	1	1	1	1	1	1	1	1	1
sub-300308	1	1	1	1	1	1	0	1	0
sub-300309	1	1	1	1	1	1	0	1	0
sub-300400	1	1	0	1	1	0	1	1	0
sub-300401	1	1	1	1	1	1	0	1	0
sub-300402	1	1	1	1	1	1	1	1	1
sub-300403	1	1	1	1	1	1	1	1	1
sub-300404	1	1	1	1	1	1	1	1	1
sub-300405	1	1	1	1	1	1	1	1	1
sub-300406	0	0	1	1	1	1	1	1	0
sub-300407	1	1	1	1	1	1	0	1	0
sub-300408	1	1	1	1	1	1	0	1	0
sub-300409	1	1	1	1	1	1	1	1	1
sub-300500	0	0	1	1	1	1	1	1	0
sub-300501	1	1	1	1	1	1	1	1	1
sub-300502	1	1	1	0	0	1	1	1	0
sub-300503	1	1	1	1	1	1	1	1	1
sub-300504	1	1	1	1	1	1	1	1	1
sub-300505	1	1	1	1	1	1	1	1	1
sub-300506	1	1	1	1	1	1	1	1	1
sub-300507	1	1	0	1	1	1	0	1	0
sub-300508	1	1	1	1	1	1	1	1	1
sub-300509	1	1	1	1	1	1	1	1	1
sub-300600	1	1	1	1	1	1	0	1	0
sub-300601	1	1	1	1	1	1	0	1	0
sub-300602	1	1	1	1	1	1	0	1	0
sub-300603	1	1	1	1	1	1	0	1	0
sub-300604	1	1	1	1	1	1	0	1	0
sub-300605	1	1	1	1	1	1	0	1	0
sub-300606	1	1	1	1	1	1	0	1	0
sub-300607	1	1	1	1	1	1	0	1	0
sub-300608	1	1	1	1	1	1	0	1	0
sub-300609	1	1	1	1	1	1	0	1	0
sub-300700	1	1	1	1	1	1	1	1	1
sub-300701	1	1	1	1	1	1	1	1	1
sub-300702	1	1	1	1	1	1	1	1	1
sub-300703	1	1	1	1	1	1	1	1	1
sub-300704	1	1	1	1	1	1	1	1	1
sub-300705	1	1	1	1	1	1	1	1	1
sub-300706	1	1	1	1	1	1	1	1	1
sub-300707	1	1	1	1	1	1	1	1	1
sub-300708	1	1	1	1	1	1	1	1	1
sub-300709	1	1	1	1	1	1	1	1	1
sub-300800	1	1	0	1	0	1	0	1	0
