participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-300100	NA	NA	NA	spurious	0.60143	0.12914	specific	0.24863	-0.05438	NA	NA	NA	NA	NA	NA	spurious	0.73613	0.26828
sub-300101	spurious	0.64384	0.4848	specific	0.36449	0.05792	specific	0.30437	0.0023	specific	0.18059	0.05127	specific	0.2427	0.03647	spurious	0.68381	0.12646
sub-300102	spurious	0.75651	0.33867	spurious	0.60027	0.17119	specific	0.29701	0.06693	spurious	0.42616	0.12576	spurious	0.47391	0.2152	spurious	0.61696	0.22081
sub-300103	spurious	0.609	0.32881	specific	0.21342	0.05617	no	0.04897	-0.0098	specific	0.38131	0.02864	specific	0.51406	0.05927	non-specific	-0.0177	0.16378
sub-300104	spurious	0.48853	0.37028	spurious	0.31736	0.20534	specific	0.14932	0.01514	specific	0.23252	0.0235	specific	0.27804	0.02447	spurious	0.60188	0.2958
sub-300105	spurious	0.57178	0.10892	specific	0.3674	-0.00839	specific	0.35913	0.02977	specific	0.35193	-0.00095	specific	0.36643	-0.00098	specific	0.34313	-0.04223
sub-300106	spurious	0.66463	0.48246	specific	0.51416	0.07103	specific	0.38086	0.00698	spurious	0.48782	0.10527	spurious	0.49852	0.1021	spurious	0.71593	0.26751
sub-300107	spurious	0.72113	0.49996	spurious	0.59231	0.15239	specific	0.44507	-0.087	specific	0.51773	0.0362	specific	0.51643	-0.00257	spurious	0.72374	0.23209
sub-300108	spurious	0.46286	0.17434	spurious	0.36669	0.26309	specific	0.29308	0.06333	spurious	0.12739	0.12127	spurious	0.12489	0.11701	specific	0.40088	0.00595
sub-300109	spurious	0.69039	0.40507	spurious	0.75015	0.51456	specific	0.29159	0.03032	spurious	0.40441	0.13264	spurious	0.52798	0.18366	spurious	0.83296	0.47347
sub-300200	specific	0.17181	0.05265	no	-0.04527	-0.01596	spurious	-0.10091	0.08766	no	-0.0349	0.06433	no	-0.05376	0.04161	spurious	0.20438	0.17479
sub-300201	specific	0.17663	0.00978	no	0.07604	-0.04097	specific	0.11538	0.06051	no	0.08053	0.05631	no	0.07205	0.05992	specific	0.21795	-0.10292
sub-300202	specific	0.22036	0.07024	no	-0.07032	0.0561	no	0.00597	0.03933	no	0.05941	0.06111	no	0.05927	0.08443	specific	0.12055	-0.07332
sub-300203	spurious	0.16431	0.14757	no	0.02776	-0.02112	NA	NA	NA	no	0.02854	0.08723	no	0.03068	0.08924	specific	0.28711	0.02258
sub-300204	specific	0.12407	-0.02353	no	-0.0095	-0.05898	no	-0.00304	-0.06212	no	-0.01958	0.03095	no	-0.01273	0.03818	specific	0.34684	-0.06444
sub-300205	specific	0.11905	0.06009	no	-0.01112	-0.09143	no	-0.0099	-0.03535	no	-0.00041	0.04146	no	3e-05	0.06091	spurious	0.23472	0.14004
sub-300206	no	0.0778	-0.00156	no	0.00181	-0.07063	no	-0.03125	0.07885	non-specific	0.05291	0.15225	non-specific	0.05887	0.16783	spurious	0.36786	0.37338
sub-300207	specific	0.18719	0.01636	no	-0.00222	-0.07441	no	0.01482	0.05694	no	0.02972	0.07257	no	0.04534	0.08041	specific	0.35774	0.06742
sub-300208	specific	0.21398	0.05435	no	0.08254	0.05217	no	0.06761	0.03786	specific	0.10496	0.04281	specific	0.10399	0.04772	spurious	0.20701	0.10136
sub-300209	specific	0.25223	0.06908	no	0.04803	0.02792	specific	0.24108	0.0071	non-specific	0.05258	0.10436	no	0.05473	0.08818	spurious	0.39163	0.16291
sub-300301	spurious	0.25386	0.36534	spurious	0.10611	0.12236	no	-0.05135	0.04537	NA	NA	NA	NA	NA	NA	spurious	0.38412	0.28882
sub-300302	specific	0.30613	0.08927	NA	NA	NA	specific	0.14566	-0.05164	NA	NA	NA	NA	NA	NA	specific	0.11333	0.07604
sub-300303	spurious	0.1729	0.14685	specific	0.12217	0.0724	no	0.02198	-0.06205	NA	NA	NA	NA	NA	NA	specific	0.25008	0.09928
sub-300304	spurious	0.48272	0.32696	spurious	0.42149	0.35804	specific	0.10767	-0.02294	NA	NA	NA	NA	NA	NA	spurious	0.71851	0.71038
sub-300305	spurious	0.61199	0.46717	spurious	0.59644	0.49475	NA	NA	NA	NA	NA	NA	NA	NA	NA	spurious	0.73504	0.31045
sub-300306	spurious	0.23672	0.20201	non-specific	0.01982	0.10739	NA	NA	NA	NA	NA	NA	NA	NA	NA	spurious	0.36505	0.10133
sub-300307	spurious	0.42926	0.34354	spurious	0.42149	0.35804	no	0.04427	-0.02298	NA	NA	NA	NA	NA	NA	spurious	0.72152	0.70368
sub-300308	spurious	0.59767	0.49337	spurious	0.48003	0.5287	no	0.01812	0.03541	NA	NA	NA	NA	NA	NA	spurious	0.75936	0.75493
sub-300309	spurious	0.40228	0.35654	spurious	0.30391	0.25001	specific	0.22706	-0.03611	NA	NA	NA	NA	NA	NA	spurious	0.48723	0.29647
sub-300400	spurious	0.3255	0.12129	spurious	0.61576	0.62622	no	0.02582	-0.05319	no	-0.00701	-0.02235	no	0.00455	-0.00821	spurious	0.49814	0.16976
sub-300401	spurious	0.11854	0.16533	NA	NA	NA	no	0.04042	0.06108	no	-0.01523	-0.01894	no	-0.01135	-0.04042	specific	0.14491	0.05308
sub-300402	specific	0.25801	0.08821	specific	0.1018	-0.03646	no	-0.08837	0.01539	no	0.04928	0.00501	no	0.06164	0.00991	spurious	0.23804	0.15184
sub-300403	spurious	0.22739	0.16926	spurious	0.21914	0.15347	no	0.0859	0.0215	no	0.05483	0.03842	no	0.07151	0.04614	spurious	0.53843	0.34661
sub-300404	non-specific	0.06878	0.1233	no	0.00272	0.02642	no	0.03031	-0.01632	no	-0.04614	0.08104	no	-0.06112	0.0771	no	0.07001	0.09868
sub-300405	spurious	0.29874	0.19817	spurious	0.15779	0.16819	no	0.01749	0.05128	specific	0.16223	0.05748	specific	0.14689	0.05213	spurious	0.37202	0.16948
sub-300406	specific	0.12923	0.01164	no	0.07761	-0.08065	no	-0.02175	0.04829	non-specific	-0.10148	0.12406	non-specific	-0.09349	0.12219	spurious	0.40089	0.14043
sub-300407	specific	0.14416	0.0464	no	0.04985	0.00838	non-specific	-0.02493	0.186	no	-0.05723	0.09854	no	-0.08061	0.07189	specific	0.35001	-0.03593
sub-300408	specific	0.20622	-0.07209	no	0.09942	0.03049	no	-0.01001	0.08074	no	0.00447	0.06197	no	0.00084	0.05382	specific	0.23585	0.07004
sub-300409	spurious	0.29851	0.13423	specific	0.1635	-0.00736	no	0.0781	-0.00731	no	-0.04553	-0.02515	no	-0.04055	-0.05471	specific	0.31693	0.09078
sub-300500	spurious	0.76855	0.35748	spurious	0.55252	0.19246	specific	0.49628	0.00667	spurious	0.29869	0.1309	spurious	0.28365	0.14356	spurious	0.66123	0.4396
sub-300501	spurious	0.65142	0.29474	specific	0.51623	0.08121	specific	0.5333	0.01996	spurious	0.29269	0.12018	specific	0.3483	0.08727	spurious	0.81954	0.59017
sub-300502	spurious	0.37336	0.13039	no	0.05582	-0.00245	no	0.00706	0.06079	no	-0.00783	0.06087	no	0.01267	0.0432	spurious	0.36166	0.21743
